file_a,file_b,score,text_a,text_b,start_a,end_a,start_b,end_b,len_a,len_b
poc/D2672 copy.txt,corpus/D1182.txt,44.0,gs zhes bya ba ni 'dod chags dang zhe sdang dang gti mug,"gs zhes bya ba ni 'dod chags dang /
zhe sdang dang /
gti mug",167689,167745,105059,105119,56,60
poc/D2672 copy.txt,corpus/D1183.txt,41.0,zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa,zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa,38564,38616,182338,182390,52,52
poc/D2672 copy.txt,corpus/D1183.txt,41.0,zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa,zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa,38966,39018,182338,182390,52,52
poc/D2672 copy.txt,corpus/D1187.txt,48.4,ni mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa,"n mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med pa",34314,34384,20998,21067,70,69
poc/D2672 copy.txt,corpus/D1187.txt,46.0,zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa rnams,zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa rnams,38564,38622,75291,75349,58,58
poc/D2672 copy.txt,corpus/D1187.txt,41.8,ags zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa,ang zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa,38962,39018,75287,75343,56,56
poc/D2672 copy.txt,corpus/D1188.txt,44.8,sangs rgyas dang byang chub sems dpa' rnams kyis 'dul ba'i,sangs rgyas dang byang chub sems dpa' rnams kyi 'du ba'i,141851,141909,33743,33799,58,56
poc/D2672 copy.txt,corpus/D1189.txt,44.50000000000001,a ni kun nas nyon mongs pa dang rnam par byang ba thams cad do/ /rtsa ba sems zhes gsungs zhes bya ba ni,"a ni kun nas nyon mongs pa dang /
rnam par byang ba dag dbyer med pa ste /
ye shes gang la zhes bya ba ni",80613,80717,194176,194281,104,105
poc/D2672 copy.txt,corpus/D119.txt,51.1,ba ni mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pas,"ba na mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med pa s",34311,34385,816945,817020,74,75
poc/D2672 copy.txt,corpus/D119.txt,48.0,ni mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med,"ni mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med",34314,34381,2198281,2198348,67,67
poc/D2672 copy.txt,corpus/D119.txt,41.7,n thams cad dbugs dbyung ba dang / sems can thams cad yongs su mya ngan las 'da' ba dang / sems can thams cad,"ng thams cad yongs su sbyang ba dang /
sems can thams cad yongs su smin par bya ba dang /
spyod dka' ba thams cad",129939,130048,2454403,2454516,109,113
poc/D2672 copy.txt,corpus/D119.txt,40.0,g / sems can thams cad thams cad mkhyen pa'i ye shes,"g /
sems can thams cad thams cad mkhyen pa'i ye shes",130026,130078,899820,899872,52,52
poc/D2672 copy.txt,corpus/D119.txt,42.0,sangs rgyas dang byang chub sems dpa' rnams kyi spy,sangs rgyas dang byang chub sems dpa' rnams kyi spy,138154,138205,1590568,1590619,51,51
poc/D2672 copy.txt,corpus/D119.txt,42.4,a ni sangs rgyas dang byang chub sems dpa' rnams kyis,as ni sangs rgyas dang byang chub sems dpa' rnams kyis,141846,141899,1519388,1519442,53,54
poc/D2672 copy.txt,corpus/D119.txt,44.0,zhes bya ba ni 'dod chags dang zhe sdang dang gti mug gi,"zhes bya ba ni 'dod chags dang /
zhe sdang dang /
gti mug gi",151962,152018,670874,670934,56,60
poc/D2672 copy.txt,corpus/D119.txt,40.5,a ni 'dod chags dang zhe sdang dang gti mug gi rgyun yan,"a ni 'dod chags dang /
zhe sdang dang /
gti mug gi rgyu yin",151972,152028,2206509,2206568,56,59
poc/D2672 copy.txt,corpus/D119.txt,44.0,zhes bya ba ni 'dod chags dang zhe sdang dang gti mug gi,"zhes bya ba ni 'dod chags dang /
zhe sdang dang /
gti mug gi",167692,167748,670874,670934,56,60
poc/D2672 copy.txt,corpus/D1193.txt,44.900000000000006,e/ chu khams gser dang nam mkha' rnams/ /dag pa bzhin du dag par 'dod/ /ces,"ed / /
chu khams gser dang nam mkha' bzhin / /
dag pa bzhin du dag par 'dod / /
ces",39523,39598,103295,103378,75,83
poc/D2672 copy.txt,corpus/D1193.txt,96.4,thabs chen rnams dang ldan pa la/ /nyon mongs byang chub yan lag 'gyur/ /'khor ba'ang zhi ba'i bdag nyid de/ /de phyir de bzhin gshegs bsam yas/ /zhes b,"thabs chen dag dang ldan pa la / /
nyon mongs byang chub yan lag rgyu / /
'khor ba'ang bzhi ba'i mtshan nyid de / /
de phyir de bzhin gshegs bsam yas / /
zhes 'b",81786,81938,100152,100313,152,161
poc/D2672 copy.txt,corpus/D1193.txt,44.300000000000004,shad/ /ces bya ba ni sangs rgyas dang byang chub sems dpa' rnams,skad ces bya ba ni sangs rgyas dang byang chub sems dpa' thams,138133,138197,9350,9412,64,62
poc/D2672 copy.txt,corpus/D1196.txt,44.1,yur/ /zhes bya ba ni mi gnas pa'i mya ngan las 'das pa thob pa,"yir / /
zhes bya ba ni mi gnas pa'i mya ngan las 'das pa thob pa",81706,81768,57240,57304,62,64
poc/D2672 copy.txt,corpus/D1196.txt,40.2,a ba ni sangs rgyas dang byang chub sems dpa' rnams kyi,a yang sangs rgyas dang byang chub sems dpa' rnams kyi,138146,138201,158833,158887,55,54
poc/D2672 copy.txt,corpus/D1196.txt,40.2,a ba ni sangs rgyas dang byang chub sems dpa' rnams kyi,a yang sangs rgyas dang byang chub sems dpa' rnams kyi,141843,141898,158833,158887,55,54
poc/D2672 copy.txt,corpus/D1196.txt,42.0,zhes bya ba ni 'dod chags dang zhe sdang dang gti mug,"zhes bya ba ni 'dod chags dang zhe sdang dang /
gti mug",151962,152015,45857,45912,53,55
poc/D2672 copy.txt,corpus/D1196.txt,42.0,zhes bya ba ni 'dod chags dang zhe sdang dang gti mug,"zhes bya ba ni 'dod chags dang zhe sdang dang /
gti mug",167692,167745,45857,45912,53,55
poc/D2672 copy.txt,corpus/D1197.txt,40.0,sangs rgyas dang byang chub sems dpa' rnams kyis,sangs rgyas dang byang chub sems dpa' rnams kyis,141851,141899,526026,526074,48,48
poc/D2672 copy.txt,corpus/D1198.txt,114.5,dngos po thams cad dang bral ba phung po dang khams dang skye mched dang / gzung ba dang 'dzin pa rnam par spangs pa/ /chos bdag med pa mnyam pa nyid kyis rang gi sems gzod ma nas ma skyes pa stong pa nyid kyi,"dngos po thams cad dang bral ba / /
phung po khams dang skye mched dang / /
gzung dang 'dzin pa rnam spangs pa / /
chos bdag med pa mnyam nyid pas / /
rang sems gdod nas ma skyes pa / /
stong pa nyid kyi",39768,39977,284733,284936,209,203
poc/D2672 copy.txt,corpus/D1198.txt,57.8,nyon mongs byang chub yan lag 'gyur/ /'khor ba'ang zhi ba'i bdag nyid de/ /de phyir,"nyon mongs byang chub yan lag 'gyur / /
'khor ba'ang zhi ba'i bdag nyid du'o / /
de'i phyir",81821,81904,184312,184403,83,91
poc/D2672 copy.txt,corpus/D1198.txt,41.0,dang / sems can gyi don byed pa'i tshul khrims rnams,dang sems can gyi don byed pa'i tshul khrims rnams,153602,153654,107282,107332,52,50
poc/D2672 copy.txt,corpus/D1199.txt,40.0,es bya ba ni sangs rgyas dang byang chub sems dpa',"es bya ba ni /
sangs rgyas dang byang chub sems dpa'",138141,138191,296227,296279,50,52
poc/D2672 copy.txt,corpus/D1199.txt,42.3,a tshig go/ /de nas zhes bya ba ni sangs rgyas dang byang chub sems dpa',"am tshig che / /
zhes bya ba ni /
sangs rgyas dang byang chub sems dpa'",141816,141888,296208,296279,72,71
poc/D2672 copy.txt,corpus/D12.txt,42.9,zhes bya ba nas/ skye ba'i rkyen gyis rga shi zhes bya ba'i bar du,zhes bya ba nas skye ba'i rkyen gyis rga shi yang zhes bya ba'i bar du,45900,45966,755989,756059,66,70
poc/D2672 copy.txt,corpus/D12.txt,40.0,byang chub sems dpa'i spyad pa spyod pa rnams kyi,byang chub sems dpa'i spyad pa spyod pa rnams kyi,153751,153800,908590,908639,49,49
poc/D2672 copy.txt,corpus/D120.txt,42.7,pa nyan thos dang / /rang byang chub dang / byang chub sems dpa' rnams ky,"pa /
nyan thos dang /
rang sangs rgyas dang /
byang chub sems dpa' rnams ky",111786,111859,504609,504684,73,75
poc/D2672 copy.txt,corpus/D120.txt,44.0,zhes bya ba ni 'dod chags dang zhe sdang dang gti mug gi,"zhes bya ba ni 'dod chags dang /
zhe sdang dang /
gti mug gi",151962,152018,422491,422551,56,60
poc/D2672 copy.txt,corpus/D120.txt,44.0,zhes bya ba ni 'dod chags dang zhe sdang dang gti mug gi,"zhes bya ba ni 'dod chags dang /
zhe sdang dang /
gti mug gi",167692,167748,422491,422551,56,60
poc/D2672 copy.txt,corpus/D1203.txt,41.0,zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa,"zhes bya ba ni /
'dod chags la sogs pa'i nyon mongs pa",38564,38616,55279,55333,52,54
poc/D2672 copy.txt,corpus/D1203.txt,42.4,ags zhes bya ba ni 'dod chags la sogs pa'i nyon mongs pa,"as zhes bya ba ni /
'dod chags la sogs pa'i nyon mongs pa",38962,39018,55276,55333,56,57
poc/D2672 copy.txt,corpus/D1208.txt,41.1,bya ba ni 'dod chags la sogs pa'i nyon mongs pa dang bral ba',"bral ba ste /
'dod chags la sogs pa'i nyon mongs pa dang bral ba'",38971,39032,16060,16125,61,65
poc/D2672 copy.txt,corpus/D1215.txt,40.0,sangs rgyas dang byang chub sems dpa' rnams kyi s,sangs rgyas dang byang chub sems dpa' rnams kyis,138154,138203,972,1020,49,48
poc/D2672 copy.txt,corpus/D1215.txt,40.0,sangs rgyas dang byang chub sems dpa' rnams kyis,sangs rgyas dang byang chub sems dpa' rnams kyis,141851,141899,972,1020,48,48
poc/D2672 copy.txt,corpus/D1233.txt,54.0,chu khams gser dang nam mkha' rnams/ /dag pa bzhin du dag par 'dod/ /ces,"chu khams gser dang nam mkha' rnams / /
dag pa bzhin du dag par 'dod / /
ces",39526,39598,45517,45593,72,76
poc/D2672 copy.txt,corpus/D1233.txt,55.3,dang bral ba phung po dang khams dang skye mched dang / gzung ba dang 'dzin pa,dang bcas pa phung po dang khams dang skye mched dang gzung ba dang 'dzin pa,39787,39865,33492,33568,78,76
poc/D2672 copy.txt,corpus/D1237.txt,41.7,a ba ni 'dod chags la sogs pa'i nyon mongs pa rnams spangs pa nyid 'k,"ar ba'o / /
'dod chags la sogs pa'i nyon mongs par rab tu spangs pa nyid k",38571,38640,43539,43613,69,74
poc/D2672 copy.txt,corpus/D1238.txt,42.1,a ba ni sangs rgyas dang byang chub sems dpa' rnams kyi spyan,"a dang /
sangs rgyas dang /
byang chub sems dpa' rnams kyang spyan",138146,138207,3264,3330,61,66
poc/D2672 copy.txt,corpus/D1243.txt,46.7,o/ /yang na so so'i skye bo dang 'phags pa nyan thos dang / /rang byang chub dang / byang chub sems dpa',"o / /
gang zhig so so'i skye bo dang /
lha dang /
nyan thos dang /
rang sangs rgyas dang /
byang chub sems dpa'",111746,111850,3250,3361,104,111
poc/D2672 copy.txt,corpus/D1261.txt,43.99999999999999,es bya ba ni rig sngags kyi lha la yang rnam pa gnyis te/ sangs rgyas dang byang chub sems dpa' dag,"es bya ba'i sngags kyis rab tu gnas par byas la /
sangs rgyas dang byang chub sems dpa' dang",106571,106670,166087,166179,99,92
poc/D2672 copy.txt,corpus/D127.txt,40.0,bya ba ni bca' ba dang bldag pa dang gzhibs pa dang btung ba,"ba dang / /
bca' ba dang bldag pa dang gzhib pa dang btung ba",33838,33898,149175,149236,60,61
poc/D2672 copy.txt,corpus/D127.txt,48.4,mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pas,"mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med par s",34317,34385,646595,646665,68,70
poc/D2672 copy.txt,corpus/D127.txt,48.0,mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa,"mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med pa",34317,34384,654543,654610,67,67
poc/D2672 copy.txt,corpus/D127.txt,48.0,mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa,"mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med pa",34317,34384,627740,627807,67,67
poc/D2672 copy.txt,corpus/D1270.txt,41.6,s bya ba ni dkar po dang dmar po dang ser po dang ljang gu dang nag po rnams te/ de yang,"s bya ste /
dkar po dang /
ser po dang /
dmar po dang /
ljang gu dang /
nag po rnams so / /
de dag",62243,62331,41795,41893,88,98
poc/D2672 copy.txt,corpus/D129.txt,43.9,a ni sangs rgyas la blta ba dang chos nyan pa dang / dge 'dun la,ar na sangs rgyas la lta ba dang chos nyan pa dang dge 'dun la,8957,9021,22773,22835,64,62
poc/D2672 copy.txt,corpus/D1319.txt,40.5,i sangs rgyas dang byang chub sems dpa' rnams kyi spyan sngar gnang,is sangs rgyas dang byang chub sems dpa' rnams kyi bsod nams gang lag,138152,138219,2218,2287,67,69
poc/D2672 copy.txt,corpus/D133.txt,52.60000000000001,dang / sems can thams cad sgrol ba dang / sems can thams cad dbugs dbyung ba dang / sems can thams cad yong,"dag ni /
sems can thams cad la phan pa dang /
sems can thams cad yongs su gzung ba dang /
sems can thams cad yang",129890,129997,259270,259383,107,113
poc/D2672 copy.txt,corpus/D133.txt,40.099999999999994,sems can thams cad sgrol ba dang / sems can thams cad dbugs dbyung ba dang / sems can thams cad yongs su mya ngan las 'da' ba dang / sems can thams cad,"sems can thams cad la sems mnyam pa /
sems can thams cad mi gtong ba /
sems can thams cad yongs su grol bar byed pa /
sems can thams cad",129897,130048,29386,29522,151,136
poc/D2672 copy.txt,corpus/D134.txt,43.199999999999996,a dang / sems can thams cad yongs su mya ngan las 'da' ba dang / sems can thams cad,"a dang /
sems can thams cad yongs su mi gtang ba dang /
sems can thams cad",129965,130048,159312,159386,83,74
poc/D2672 copy.txt,corpus/D1345.txt,117.70000000000002,chen po las 'di skad du/ dngos po thams cad dang bral ba phung po dang khams dang skye mched dang / gzung ba dang 'dzin pa rnam par spangs pa/ /chos bdag med pa mnyam pa nyid kyis rang gi sems gzod ma nas ma skyes pa stong pa nyid kyi,"chen po la gnas pa des /
dngos po thams cad dang bral zhing / /
phung pho khams dang skye mched dang / /
gzung dang 'dzin pa rnam spangs pa / /
chos bdag med pa mnyam pa nyid / /
rang sems gzod nas ma skyes pa / /
stong pa nyid kyi",39743,39977,9648,9879,234,231
poc/D2672 copy.txt,corpus/D1350.txt,41.0,zhes bya ba ni 'dod pa dang gzugs dang gzugs med pa',"zhes bya ba ni 'dod pa dang /
gzugs dang gzugs med pa'",139398,139450,59095,59149,52,54
poc/D2672 copy.txt,corpus/D1355.txt,47.2,bya ba ni sangs rgyas dang byang chub sems dpa' rnams kyi spyan,"bya ba ni /
sangs rgyas dang byang chub sems dpa' rnams kyis byin",138144,138207,35829,35894,63,65
poc/D2672 copy.txt,corpus/D1355.txt,47.0,bya ba ni sangs rgyas dang byang chub sems dpa' rnams kyis,"bya ba ni /
sangs rgyas dang byang chub sems dpa' rnams kyis",141841,141899,35829,35889,58,60
poc/D2672 copy.txt,corpus/D1359.txt,40.4,i sangs rgyas dang byang chub sems dpa' rnams kyi s,ir sangs rgyas dang byang chub sems dpa' rnams kyis,138152,138203,19386,19437,51,51
poc/D2672 copy.txt,corpus/D1359.txt,41.4,sangs rgyas dang byang chub sems dpa' rnams kyi spy,sangs rgyas dang byang chub sems dpa' rnams kyis phy,138154,138205,5707,5759,51,52
poc/D2672 copy.txt,corpus/D1359.txt,41.7,i sangs rgyas dang byang chub sems dpa' rnams kyis 'dul ba'i skye bo rnams kyi ng,ir sangs rgyas dang byang chub sems dpa' rnams kyis slob ma la sogs pa rnams la byin g,141849,141930,19386,19472,81,86
poc/D2672 copy.txt,corpus/D1359.txt,40.0,sangs rgyas dang byang chub sems dpa' rnams kyis,sangs rgyas dang byang chub sems dpa' rnams kyis,141851,141899,5707,5755,48,48
poc/D2672 copy.txt,corpus/D1365.txt,113.70000000000002,dngos po thams cad dang bral ba phung po dang khams dang skye mched dang / gzung ba dang 'dzin pa rnam par spangs pa/ /chos bdag med pa mnyam pa nyid kyis rang gi sems gzod ma nas ma skyes pa stong pa nyid kyi ngo bo nyid ces gsungs so,"dngos po kun dang rnam bral zhing / /
phung po khams dang skye mched dang / /
gzung dang 'dzin pa rnam spangs pa / /
chos bdag med pa mnyam pa nyid / /
rang sems gdod nas ma skyes pa / /
stong pa nyid kyi ngo bo nyid / /
ces gsungs so",39768,40003,9025,9259,235,234
poc/D2672 copy.txt,corpus/D1367.txt,40.4,a ni sangs rgyas dang byang chub sems dpa' rnams kyi,an sangs rgyas dang byang chub sems dpa' rnams kyi,138149,138201,9264,9314,52,50
poc/D2672 copy.txt,corpus/D1367.txt,40.4,a ni sangs rgyas dang byang chub sems dpa' rnams kyi,an sangs rgyas dang byang chub sems dpa' rnams kyi,141846,141898,9264,9314,52,50
poc/D2672 copy.txt,corpus/D138.txt,48.8,mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pas s,"mi rtag pa dang /
sdug bsngal ba dang /
stong pa dang /
bdag med par so s",34317,34387,274332,274405,70,73
poc/D2672 copy.txt,corpus/D1397.txt,56.4,a ni khong khro ba dang / nga rgyal dang / ma rig pa dang / lta ba dang / the tshom la sogs pa'i nyon mongs pa,"ang /
khong khro dang /
nga rgyal dang /
ma rig pa dang /
lta ba dang /
the tshom zhes bya ba rtsa ba'i nyon mongs pa",38133,38243,32849,32966,110,117
poc/D2672 copy.txt,corpus/D1397.txt,50.2,a ba ni khro ba dang khon du 'dzin pa la sogs pa nye ba'i nyon mongs pa,"a dang /
khro ba dang khon du 'dzin pa la sogs pa nye ba'i nyon mongs pa",38277,38348,207586,207658,71,72
poc/D2672 copy.txt,corpus/D1398.txt,40.5,sangs rgyas dang byang chub sems dpa' rnams kyi spyan sngar g,"sangs rgyas dang /
byang chub sems dpa' rnams kyi snying por g",138154,138215,13894,13956,61,62
poc/D2672 copy.txt,corpus/D1398.txt,40.0,sangs rgyas dang byang chub sems dpa' rnams kyis,"sangs rgyas dang /
byang chub sems dpa' rnams kyi s",141851,141899,13894,13945,48,51
poc/D2672 copy.txt,corpus/D1399.txt,40.6,bya ba ni sangs rgyas dang byang chub sems dpa' rnams kyi,"ba dang /
sangs rgyas dang byang chub sems dpa' rnams kyi",138144,138201,72529,72586,57,57
poc/D2672 copy.txt,corpus/D1399.txt,40.6,bya ba ni sangs rgyas dang byang chub sems dpa' rnams kyi,"ba dang /
sangs rgyas dang byang chub sems dpa' rnams kyi",141841,141898,72529,72586,57,57
poc/D2672 copy.txt,corpus/D14.txt,40.599999999999994,a' bas sems can thams cad kyi dge ba'i rtsa ba bskyed pa',ab pas sems can thams cad kyi dge ba'i rtsa ba skyed par ',7507,7564,5174,5232,57,58
poc/D2672 copy.txt,corpus/D14.txt,58.000000000000014,sems can thams cad bsgral ba dang / sems can thams cad sgrol ba dang / sems can thams cad dbugs dbyung ba dang / sems can thams cad yongs su mya ngan las 'da' ba dang / sems can thams cad,"sems can thams cad yang dag pa ma yin pa dang /
sems can thams cad sems can ma yin pa dang /
sems can thams cad ni phyin ci log gi sems can dang sems can thams cad ni yongs su brtags pas sems can dang /
sems can thams cad",129861,130048,37505,37726,187,221
poc/D2672 copy.txt,corpus/D14.txt,42.0,sangs rgyas dang byang chub sems dpa' rnams kyi spy,sangs rgyas dang byang chub sems dpa' rnams kyi spy,138154,138205,36750,36801,51,51
